,candidates,jobs,data_seed,dqn_seed,batch_size,gamma,epsilon,epsilon_min,epsilon_decay,learning_rate,total_reward,allocation
203,100,20,1,1,32,0.9,0.5,0.1,0.995,0.001,-377620,"   Woman  Man
0      3   12"
204,100,20,1,1,32,0.9,0.5,0.001,0.985,0.0005,-393610,"   Woman  Man
0      5   10"
205,100,20,1,1,32,0.9,0.5,0.001,0.985,0.001,-377871,"   Woman  Man
0      4   11"
206,100,20,1,1,32,0.9,0.5,0.001,0.995,0.0005,-362280,"   Woman  Man
0      4   11"
207,100,20,1,1,32,0.9,0.5,0.001,0.995,0.001,-366095,"   Woman  Man
0      4   11"
208,100,20,1,1,32,0.95,1,0.1,0.985,0.0005,-366095,"   Woman  Man
0      4   11"
209,100,20,1,1,32,0.95,1,0.1,0.985,0.001,-376002,"   Woman  Man
0      3   12"
210,100,20,1,1,32,0.95,1,0.1,0.995,0.0005,-365844,"   Woman  Man
0      3   12"
211,100,20,1,1,32,0.95,1,0.1,0.995,0.001,-376002,"   Woman  Man
0      3   12"
212,100,20,1,1,32,0.95,1,0.001,0.985,0.0005,-384302,"   Woman  Man
0      4   11"
213,100,20,1,1,32,0.95,1,0.001,0.985,0.001,-384328,"   Woman  Man
0      3   12"
214,100,20,1,1,32,0.95,1,0.001,0.995,0.0005,-378595,"   Woman  Man
0      5   10"
215,100,20,1,1,32,0.95,1,0.001,0.995,0.001,-364226,"   Woman  Man
0      3   12"
216,100,20,1,1,32,0.95,0.5,0.1,0.985,0.0005,-377991,"   Woman  Man
0      3   12"
217,100,20,1,1,32,0.95,0.5,0.1,0.985,0.001,-362280,"   Woman  Man
0      4   11"
218,100,20,1,1,32,0.95,0.5,0.1,0.995,0.0005,-364226,"   Woman  Man
0      3   12"
219,100,20,1,1,32,0.95,0.5,0.1,0.995,0.001,-362280,"   Woman  Man
0      4   11"
220,100,20,1,1,32,0.95,0.5,0.001,0.985,0.0005,-383722,"   Woman  Man
0      5   10"
221,100,20,1,1,32,0.95,0.5,0.001,0.985,0.001,-377620,"   Woman  Man
0      3   12"
222,100,20,1,1,32,0.95,0.5,0.001,0.995,0.0005,-364149,"   Woman  Man
0      5   10"
223,100,20,1,1,32,0.95,0.5,0.001,0.995,0.001,-364226,"   Woman  Man
0      3   12"
224,100,20,1,1,32,0.99,1,0.1,0.985,0.0005,-426618,"   Woman  Man
0      5   10"
225,100,20,1,1,32,0.99,1,0.1,0.985,0.001,-362280,"   Woman  Man
0      4   11"
226,100,20,1,1,32,0.99,1,0.1,0.995,0.0005,-365844,"   Woman  Man
0      3   12"
227,100,20,1,1,32,0.99,1,0.1,0.995,0.001,-364149,"   Woman  Man
0      5   10"
228,100,20,1,1,32,0.99,1,0.001,0.985,0.0005,-387586,"   Woman  Man
0      2   13"
229,100,20,1,1,32,0.99,1,0.001,0.985,0.001,-383258,"   Woman  Man
0      5   10"
230,100,20,1,1,32,0.99,1,0.001,0.995,0.0005,-374114,"   Woman  Man
0      3   12"
231,100,20,1,1,32,0.99,1,0.001,0.995,0.001,-396642,"   Woman  Man
0      4   11"
232,100,20,1,1,32,0.99,0.5,0.1,0.985,0.0005,-373833,"   Woman  Man
0      4   11"
233,100,20,1,1,32,0.99,0.5,0.1,0.985,0.001,-366095,"   Woman  Man
0      4   11"
234,100,20,1,1,32,0.99,0.5,0.1,0.995,0.0005,-382159,"   Woman  Man
0      4   11"
235,100,20,1,1,32,0.99,0.5,0.1,0.995,0.001,-376002,"   Woman  Man
0      3   12"
236,100,20,1,1,32,0.99,0.5,0.001,0.985,0.0005,-443296,"   Woman  Man
0      6   10"
237,100,20,1,1,32,0.99,0.5,0.001,0.985,0.001,-364226,"   Woman  Man
0      3   12"
238,100,20,1,1,32,0.99,0.5,0.001,0.995,0.0005,-383335,"   Woman  Man
0      3   12"
239,100,20,1,1,32,0.99,0.5,0.001,0.995,0.001,-381555,"   Woman  Man
0      2   13"
240,100,20,1,1,64,0.9,1,0.1,0.985,0.0005,-364149,"   Woman  Man
0      5   10"
241,100,20,1,1,64,0.9,1,0.1,0.985,0.001,-362280,"   Woman  Man
0      4   11"
